,filename,syllabus,session_code,session_name,year,paper_number,paper_type,variant,question_number,marks,time_period,stratum,human_topic
0,0607_m21_qp_42.json,607,m,Mar/May,2021,4,calculator,2,3(a)(i),1,late,calculator | late,straight lines
1,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,2(e),3,late,calculator | late,topics in arithmetic
2,0607_m24_qp_22.json,607,m,Mar/May,2024,2,non_calculator,2,9(a),1,late,non_calculator | late,topics in arithmetic
3,0607_m24_qp_42.json,607,m,Mar/May,2024,4,calculator,2,7(b)(i),2,late,calculator | late,similarity
4,0607_m25_qp_22.json,607,m,Mar/May,2025,2,non_calculator,2,12(b),2,late,non_calculator | late,transformations
5,0607_m25_qp_42.json,607,m,Mar/May,2025,4,calculator,2,13(b),2,late,calculator | late,functions
6,0607_m25_qp_42.json,607,m,Mar/May,2025,4,calculator,2,13(d),1,late,calculator | late,functions
7,0607_s14_qp_21.json,607,s,May/Jun,2014,2,non_calculator,1,9(b),2,early,non_calculator | early,probability
8,0607_s14_qp_43.json,607,s,May/Jun,2014,4,calculator,3,6(e),1,early,calculator | early,graphing functions
9,0607_s14_qp_43.json,607,s,May/Jun,2014,4,calculator,3,10(b),3,early,calculator | early,trigonometry
10,0607_s15_qp_21.json,607,s,May/Jun,2015,2,non_calculator,1,8(b),2,early,non_calculator | early,variation and proportion
11,0607_s15_qp_22.json,607,s,May/Jun,2015,2,non_calculator,2,4(b),1,early,non_calculator | early,probability
12,0607_s15_qp_41.json,607,s,May/Jun,2015,4,calculator,1,6(d)(ii),1,early,calculator | early,sets and Venn diagrams
13,0607_s15_qp_41.json,607,s,May/Jun,2015,4,calculator,1,8(a)(ii),1,early,calculator | early,trigonometry
14,0607_s15_qp_41.json,607,s,May/Jun,2015,4,calculator,1,9(c)(i),2,early,calculator | early,statistics
15,0607_s15_qp_41.json,607,s,May/Jun,2015,4,calculator,1,10(a),2,early,calculator | early,Pythagoras
16,0607_s15_qp_42.json,607,s,May/Jun,2015,4,calculator,2,13(b)(iii),2,early,calculator | early,trigonometry
17,0607_s16_qp_21.json,607,s,May/Jun,2016,2,non_calculator,1,7(b)(i),1,early,non_calculator | early,sets and Venn diagrams
18,0607_s16_qp_41.json,607,s,May/Jun,2016,4,calculator,1,10(a),3,early,calculator | early,Pythagoras
19,0607_s16_qp_42.json,607,s,May/Jun,2016,4,calculator,2,5(c),3,early,calculator | early,trigonometry
20,0607_s16_qp_43.json,607,s,May/Jun,2016,4,calculator,3,3(c),3,early,calculator | early,variation and proportion
21,0607_s17_qp_41.json,607,s,May/Jun,2017,4,calculator,1,5(b)(i),2,early,calculator | early,trigonometry
22,0607_s17_qp_43.json,607,s,May/Jun,2017,4,calculator,3,6(d),2,early,calculator | early,graphing functions
23,0607_s18_qp_22.json,607,s,May/Jun,2018,2,non_calculator,2,3,1,early,non_calculator | early,probability
24,0607_s18_qp_22.json,607,s,May/Jun,2018,2,non_calculator,2,14,3,early,non_calculator | early,straight lines
25,0607_s18_qp_43.json,607,s,May/Jun,2018,4,calculator,3,9(b)(i),2,early,calculator | early,sequences
26,0607_s19_qp_22.json,607,s,May/Jun,2019,2,non_calculator,2,10,1,early,non_calculator | early,exponents and surds
27,0607_s19_qp_22.json,607,s,May/Jun,2019,2,non_calculator,2,12,2,early,non_calculator | early,expanding and factorising
28,0607_s19_qp_23.json,607,s,May/Jun,2019,2,non_calculator,3,1,1,early,non_calculator | early,exponents and surds
29,0607_s19_qp_41.json,607,s,May/Jun,2019,4,calculator,1,4(c)(i),1,early,calculator | early,statistics
30,0607_s19_qp_42.json,607,s,May/Jun,2019,4,calculator,2,9(d)(i),1,early,calculator | early,probability
31,0607_s19_qp_43.json,607,s,May/Jun,2019,4,calculator,3,9(d),3,early,calculator | early,logarithms
32,0607_s19_qp_43.json,607,s,May/Jun,2019,4,calculator,3,12(b)(i),1,early,calculator | early,sequences
