filename,question_number,topic,confidence
0607_m21_qp_22.json,1(a),statistics,high
0607_m21_qp_22.json,1(b),statistics,high
0607_m21_qp_22.json,2,vectors,high
0607_m21_qp_22.json,3,topics in arithmetic,high
0607_m21_qp_22.json,4,solving linear equations,high
0607_m21_qp_22.json,5(a),straight lines,high
0607_m21_qp_22.json,5(b),Pythagoras,high
0607_m21_qp_22.json,6,exponents and surds,high
0607_m21_qp_22.json,7(a),probability,high
0607_m21_qp_22.json,7(b),probability,high
0607_m21_qp_22.json,8,expanding and factorising,high
0607_m21_qp_22.json,9(a),circle theorems,high
0607_m21_qp_22.json,9(b)(i),circle theorems,high
0607_m21_qp_22.json,9(b)(ii),circle theorems,high
0607_m21_qp_22.json,10,topics in arithmetic,high
0607_m21_qp_22.json,11,sequences,high
0607_m21_qp_22.json,12,solving linear equations,high
0607_m21_qp_22.json,13,exponents and surds,high
0607_m21_qp_22.json,14,expanding and factorising,high
0607_m21_qp_42.json,1(a)(i),transformations,high
0607_m21_qp_42.json,1(a)(ii),transformations,high
0607_m21_qp_42.json,1(a)(iii),transformations,high
0607_m21_qp_42.json,1(b),transformations,high
0607_m21_qp_42.json,2(a),topics in arithmetic,high
0607_m21_qp_42.json,2(b),topics in arithmetic,high
0607_m21_qp_42.json,2(c),topics in arithmetic,high
0607_m21_qp_42.json,2(d)(i),topics in arithmetic,high
0607_m21_qp_42.json,2(d)(ii),topics in arithmetic,high
0607_m21_qp_42.json,2(e)(i),topics in arithmetic,high
0607_m21_qp_42.json,2(e)(ii),topics in arithmetic,high
0607_m21_qp_42.json,2(f),topics in arithmetic,high
0607_m21_qp_42.json,3(a)(i),straight lines,high
0607_m21_qp_42.json,3(a)(ii),straight lines,high
0607_m21_qp_42.json,3(b),straight lines,high
0607_m21_qp_42.json,3(c),straight lines,high
0607_m21_qp_42.json,3(d),straight lines,high
0607_m21_qp_42.json,3(e)(i),inequalities,high
0607_m21_qp_42.json,3(e)(ii),inequalities,high
0607_m21_qp_42.json,4(a)(i),statistics,high
0607_m21_qp_42.json,4(a)(ii),statistics,high
0607_m21_qp_42.json,4(b)(i),statistics,high
0607_m21_qp_42.json,4(b)(ii),statistics,high
0607_m21_qp_42.json,4(b)(iii)(a),statistics,high
0607_m21_qp_42.json,4(b)(iii)(b),statistics,high
0607_m21_qp_42.json,5(a),trigonometry,high
0607_m21_qp_42.json,5(b),mensuration,high
0607_m21_qp_42.json,5(c),mensuration,high
0607_m21_qp_42.json,5(d)(i),solving quadratic equations,high
0607_m21_qp_42.json,5(d)(ii),expanding and factorising,high
0607_m21_qp_42.json,5(d)(iii),solving quadratic equations,high
0607_m21_qp_42.json,5(d)(iv),solving quadratic equations,high
0607_m21_qp_42.json,6(a)(i),variation and proportion,high
0607_m21_qp_42.json,6(a)(ii),variation and proportion,high
0607_m21_qp_42.json,6(a)(iii),variation and proportion,high
0607_m21_qp_42.json,6(b),variation and proportion,high
0607_m21_qp_42.json,7(a),functions,high
0607_m21_qp_42.json,7(b),functions,high
