filename,syllabus,session_code,session_name,year,paper_number,paper_type,variant,question_number,question_text,marks,time_period,stratum,human_topic
0607_m21_qp_42.json,0607,m,Mar/May,2021,4,calculator,2,3(a)(i),Write down the coordinates of the point where the line y = -2x + 3 crosses the y-axis.,1,late,calculator | late,straight lines
0607_m22_qp_42.json,0607,m,Mar/May,2022,4,calculator,2,2(e),"Each year the value of another car decreases by r% of its value at the beginning of that year. At the end of 10 years, the value has decreased from $12 000 to $4673. Find the value of r.",3,late,calculator | late,topics in arithmetic
0607_m24_qp_22.json,0607,m,Mar/May,2024,2,non_calculator,2,9(a),Find the highest common factor (HCF) of 72 and 120.,1,late,non_calculator | late,topics in arithmetic
0607_m24_qp_42.json,0607,m,Mar/May,2024,4,calculator,2,7(b)(i),Show that triangles AXB and DXC are similar. Give a reason for each statement you make.,2,late,calculator | late,similarity
0607_m25_qp_22.json,0607,m,Mar/May,2025,2,non_calculator,2,12(b),"Draw the image of triangle T after a translation of vector (-4, 1).",2,late,non_calculator | late,transformations
0607_m25_qp_42.json,0607,m,Mar/May,2025,4,calculator,2,13(b),Find fg(x). Simplify your answer.,2,late,calculator | late,functions
0607_m25_qp_42.json,0607,m,Mar/May,2025,4,calculator,2,13(d),Find f f^-1(5).,1,late,calculator | late,functions
0607_s14_qp_21.json,0607,s,May/Jun,2014,2,non_calculator,1,9(b),"Find the relative frequency of white cars, giving your answer as a fraction in its lowest terms.",2,early,non_calculator | early,probability
0607_s14_qp_43.json,0607,s,May/Jun,2014,4,calculator,3,6(e),"The equation f(x) = k, where k is an integer, has one solution. Write down a possible value of k.",1,early,calculator | early,graphing functions
0607_s14_qp_43.json,0607,s,May/Jun,2014,4,calculator,3,10(b),Calculate the distance LV.,3,early,calculator | early,trigonometry
0607_s15_qp_21.json,0607,s,May/Jun,2015,2,non_calculator,1,8(b),Find the value of y.,2,early,non_calculator | early,variation and proportion
0607_s15_qp_22.json,0607,s,May/Jun,2015,2,non_calculator,2,4(b),Whose result gives the best estimate of the probability of throwing a six with the biased die? Give a reason for your answer.,1,early,non_calculator | early,probability
0607_s15_qp_41.json,0607,s,May/Jun,2015,4,calculator,1,6(d)(ii),Find n(A' ∩ B' ∩ C'),1,early,calculator | early,sets and Venn diagrams
0607_s15_qp_41.json,0607,s,May/Jun,2015,4,calculator,1,8(a)(ii),Find the size of angle OBA,1,early,calculator | early,trigonometry
0607_s15_qp_41.json,0607,s,May/Jun,2015,4,calculator,1,9(c)(i),Find the equation of the regression line in the form y = mx + c.,2,early,calculator | early,statistics
0607_s15_qp_41.json,0607,s,May/Jun,2015,4,calculator,1,10(a),Find AC.,2,early,calculator | early,Pythagoras
0607_s15_qp_42.json,0607,s,May/Jun,2015,4,calculator,2,13(b)(iii),Find the value of Area of DFE / Area of ABCD.,2,early,calculator | early,trigonometry
0607_s16_qp_21.json,0607,s,May/Jun,2016,2,non_calculator,1,7(b)(i),List the members of (E union F union M)',1,early,non_calculator | early,sets and Venn diagrams
0607_s16_qp_41.json,0607,s,May/Jun,2016,4,calculator,1,10(a),Calculate AB.,3,early,calculator | early,Pythagoras
0607_s16_qp_42.json,0607,s,May/Jun,2016,4,calculator,2,5(c),AD = 4.61 cm. Calculate angle AXD.,3,early,calculator | early,trigonometry
0607_s16_qp_43.json,0607,s,May/Jun,2016,4,calculator,3,3(c),y is directly proportional to (x + 1)^3. y = 32 when x = 3. Find x in terms of y.,3,early,calculator | early,variation and proportion
0607_s17_qp_41.json,0607,s,May/Jun,2017,4,calculator,1,5(b)(i),"Find the value of angle AOB,",2,early,calculator | early,trigonometry
0607_s17_qp_43.json,0607,s,May/Jun,2017,4,calculator,3,6(d),Solve the equation f(x) = 2.,2,early,calculator | early,graphing functions
0607_s18_qp_22.json,0607,s,May/Jun,2018,2,non_calculator,2,3,"A bag contains 2 blue balls, 3 red balls and 5 green balls only. One ball is chosen at random. Find the probability that this ball is red.",1,early,non_calculator | early,probability
0607_s18_qp_22.json,0607,s,May/Jun,2018,2,non_calculator,2,14,"Point A has co-ordinates (2, 3). Point B has co-ordinates (4, 11). Find the equation of the line AB. Give your answer in the form y = mx + c.",3,early,non_calculator | early,straight lines
0607_s18_qp_43.json,0607,s,May/Jun,2018,4,calculator,3,9(b)(i),Find the number of each colour of tiles in Pattern 15.,2,early,calculator | early,sequences
0607_s19_qp_22.json,0607,s,May/Jun,2019,2,non_calculator,2,10,Work out the value of (1/27)^(-1/3).,1,early,non_calculator | early,exponents and surds
0607_s19_qp_22.json,0607,s,May/Jun,2019,2,non_calculator,2,12,Factorise completely ab - a - b + 1.,2,early,non_calculator | early,expanding and factorising
0607_s19_qp_23.json,0607,s,May/Jun,2019,2,non_calculator,3,1,Work out. (-2)^3,1,early,non_calculator | early,exponents and surds
0607_s19_qp_41.json,0607,s,May/Jun,2019,4,calculator,1,4(c)(i),"Use your cumulative frequency curve to estimate the median height,",1,early,calculator | early,statistics
0607_s19_qp_42.json,0607,s,May/Jun,2019,4,calculator,2,9(d)(i),One of the 240 students is chosen at random. Find the probability that this student took more than 55 minutes to complete the run.,1,early,calculator | early,probability
0607_s19_qp_43.json,0607,s,May/Jun,2019,4,calculator,3,9(d),Solve the equation log x + 4 log 2 = log 13.,3,early,calculator | early,logarithms
0607_s19_qp_43.json,0607,s,May/Jun,2019,4,calculator,3,12(b)(i),"Find the next term in the sequence: 18, 13, 8, 3, -2, ...",1,early,calculator | early,sequences
0607_s20_qp_22.json,0607,s,May/Jun,2020,2,non_calculator,2,4,"A bag contains red balls, blue balls and green balls only. There are twice as many blue balls as green balls. There are twice as many red balls as blue balls. There are 16 blue balls in the bag. Find the total number of balls in the bag.",2,early,non_calculator | early,probability
0607_s20_qp_23.json,0607,s,May/Jun,2020,2,non_calculator,3,11(b),Use this information to find tan 320°.,1,early,non_calculator | early,trigonometry
0607_s20_qp_41.json,0607,s,May/Jun,2020,4,calculator,1,3(c),The diagonals of the parallelogram meet at X. Find the coordinates of X.,2,early,calculator | early,straight lines
0607_s20_qp_41.json,0607,s,May/Jun,2020,4,calculator,1,6(a)(ii)(b),Solve the equation: |log x| = 1 - x / 4,4,early,calculator | early,logarithms
0607_s20_qp_41.json,0607,s,May/Jun,2020,4,calculator,1,7(b),Martha invests $500 at a rate of 2.4% per year compound interest. Calculate the total amount of interest at the end of 8 years.,4,early,calculator | early,topics in arithmetic
0607_s20_qp_43.json,0607,s,May/Jun,2020,4,calculator,3,8(b)(ii),Two of the houses are selected at random. Find the probability that one had exactly 2 people living in it and the other had exactly 3 people living in it.,3,early,calculator | early,probability
0607_s21_qp_42.json,0607,s,May/Jun,2021,4,calculator,2,9(b)(i),Use similar triangles to show that r = 3.33 cm correct to 3 significant figures.,3,late,calculator | late,similarity
0607_s21_qp_43.json,0607,s,May/Jun,2021,4,calculator,3,11(b)(i),Find the value of log_3 81 - log_9 (1/3).,2,late,calculator | late,logarithms
0607_s22_qp_23.json,0607,s,May/Jun,2022,2,non_calculator,3,1(b),Work out 12 / 0.4,1,late,non_calculator | late,topics in arithmetic
0607_s22_qp_23.json,0607,s,May/Jun,2022,2,non_calculator,3,2(a),"This is a list of 8 numbers: 11, 7, 8, 13, 7, 14, 15, 5. Find the median.",2,late,non_calculator | late,statistics
0607_s22_qp_41.json,0607,s,May/Jun,2022,4,calculator,1,3(d),g(x) = x^3 - 5x for -3 \leqslant x \leqslant 1. Solve f(x) \leqslant g(x).,4,late,calculator | late,graphing functions
0607_s22_qp_42.json,0607,s,May/Jun,2022,4,calculator,2,5(a)(ii),Cara spends $x from her share. The ratio of Bob's money : Cara's money is now 4 : 3. Find the value of x.,3,late,calculator | late,topics in arithmetic
0607_s22_qp_42.json,0607,s,May/Jun,2022,4,calculator,2,7(d),Calculate the area of quadrilateral ABCD.,3,late,calculator | late,mensuration
0607_s23_qp_22.json,0607,s,May/Jun,2023,2,non_calculator,2,15(a),Write down the value of log_10(0.01).,1,late,non_calculator | late,logarithms
0607_s23_qp_22.json,0607,s,May/Jun,2023,2,non_calculator,2,16(b),AD : DB = 2 : 3. Find the ratio Area of triangle ADE : Area of triangle ABC.,1,late,non_calculator | late,similarity
0607_s23_qp_23.json,0607,s,May/Jun,2023,2,non_calculator,3,11(b),The mean of twelve numbers is 25. The mean of ten of these numbers is 16. Find the mean of the other two numbers.,2,late,non_calculator | late,statistics
0607_s23_qp_23.json,0607,s,May/Jun,2023,2,non_calculator,3,15,Rearrange the equation to make x the subject: A + 4y = A(2 - 3x),3,late,non_calculator | late,expanding and factorising
0607_s23_qp_42.json,0607,s,May/Jun,2023,4,calculator,2,7(d)(iii),"A and C are two vertices of a quadrilateral ABCD. B is the point (2, 12). D is the reflection of B in the line AC. Find the length AC.",2,late,calculator | late,transformations
0607_s24_qp_41.json,0607,s,May/Jun,2024,4,calculator,1,6(d),Write down the coordinates of the minimum point of the graph.,1,late,calculator | late,graphing functions
0607_s24_qp_42.json,0607,s,May/Jun,2024,4,calculator,2,2(b)(i),Yuri uses some of his money to buy a set of books and a concert ticket. He spends 21% of his $240 on the set of books. Calculate the cost of the set of books.,1,late,calculator | late,topics in arithmetic
0607_s24_qp_42.json,0607,s,May/Jun,2024,4,calculator,2,5(a),Calculate the area of an equilateral triangle with side length 12 cm.,2,late,calculator | late,trigonometry
0607_s24_qp_42.json,0607,s,May/Jun,2024,4,calculator,2,7(b),"Solve the simultaneous equations. You must show all your working. p/3 - q = 5/12, 2p + q/2 = 7/8",3,late,calculator | late,simultaneous equations
0607_s24_qp_43.json,0607,s,May/Jun,2024,4,calculator,3,7(c),Calculate the area of the logo.,3,late,calculator | late,mensuration
0607_s25_qp_21.json,0607,s,May/Jun,2025,2,non_calculator,1,10,Work out 4 \times 10^{18} + 3.2 \times 10^{17}. Give your answer in standard form.,2,late,non_calculator | late,topics in arithmetic
0607_s25_qp_22.json,0607,s,May/Jun,2025,2,non_calculator,2,7(a),"At a school, 50 students are asked their favourite car colour. The table shows the results. Colour: Red (7), Blue (x), White (15), Silver (16), Black (x). Find the value of x.",2,late,non_calculator | late,statistics
0607_s25_qp_42.json,0607,s,May/Jun,2025,4,calculator,2,16(b),"Find, in terms of x, the perimeter of ABCD.",4,late,calculator | late,mensuration
0607_s25_qp_43.json,0607,s,May/Jun,2025,4,calculator,3,15,Calculate the value of y.,4,late,calculator | late,variation and proportion
0607_w14_qp_41.json,0607,w,Oct/Nov,2014,4,calculator,1,3(c),Find the co-ordinates of the local maximum and local minimum.,2,early,calculator | early,graphing functions
0607_w14_qp_41.json,0607,w,Oct/Nov,2014,4,calculator,1,9(b),Use the cumulative frequency curve to complete the frequency table.,3,early,calculator | early,statistics
0607_w14_qp_42.json,0607,w,Oct/Nov,2014,4,calculator,2,6(b)(ii),"The time taken, t minutes, for each of another 100 cars to complete the same journey is recorded. Find the inter-quartile range,",2,early,calculator | early,statistics
0607_w14_qp_42.json,0607,w,Oct/Nov,2014,4,calculator,2,11(c)(ii)(a),"The diagram shows the graph of y = h(x). On the same diagram, sketch the graph of y = h^(-1)(x).",1,early,calculator | early,graphing functions
0607_w15_qp_23.json,0607,w,Oct/Nov,2015,2,non_calculator,3,20,"g(x) = \frac{2x+1}{x-1}, x \neq 1. Solve the equation g^{-1}(x) = 2.",1,early,non_calculator | early,functions
0607_w15_qp_43.json,0607,w,Oct/Nov,2015,4,calculator,3,5(c),"Describe fully the single transformation equivalent to a rotation 90° clockwise about (0, 0) followed by a reflection in the line y = -x.",3,early,calculator | early,transformations
0607_w15_qp_43.json,0607,w,Oct/Nov,2015,4,calculator,3,10(c),Complete this tree diagram.,3,early,calculator | early,probability
0607_w15_qp_43.json,0607,w,Oct/Nov,2015,4,calculator,3,12(b)(ii),Write down the equation of each asymptote of the graph of y = 2^x - 5,1,early,calculator | early,graphing functions
0607_w16_qp_22.json,0607,w,Oct/Nov,2016,2,non_calculator,2,11,"The points A(3, 8) and B(9, 0) are shown on the diagram below. Find the equation of the perpendicular bisector of the line AB.",5,early,non_calculator | early,straight lines
0607_w16_qp_23.json,0607,w,Oct/Nov,2016,2,non_calculator,3,13(a),Simplify. \frac{12}{\sqrt{2}},2,early,non_calculator | early,exponents and surds
0607_w16_qp_42.json,0607,w,Oct/Nov,2016,4,calculator,2,13(a),3 log p + 2 log q - log 6 = log x. Find x in terms of p and q.,3,early,calculator | early,logarithms
0607_w16_qp_43.json,0607,w,Oct/Nov,2016,4,calculator,3,7(a)(iii),Use your graph to estimate the median.,1,early,calculator | early,statistics
0607_w16_qp_43.json,0607,w,Oct/Nov,2016,4,calculator,3,11(a),The 50 members of an activities group either go walking or cycling. The table shows the choices of the males and females. Complete the table.,2,early,calculator | early,statistics
0607_w17_qp_23.json,0607,w,Oct/Nov,2017,2,non_calculator,3,1,"From this list write down the prime number: 27, 39, 49, 51, 53, 55, 58.",1,early,non_calculator | early,topics in arithmetic
0607_w17_qp_41.json,0607,w,Oct/Nov,2017,4,calculator,1,10(a),Make y the subject of 3x + y = 8.,1,early,calculator | early,solving linear equations
0607_w17_qp_42.json,0607,w,Oct/Nov,2017,4,calculator,2,9(b)(i),Solve the equation 3x^2 + 4x - 4 = 0. You must show all your working.,3,early,calculator | early,solving quadratic equations
0607_w17_qp_42.json,0607,w,Oct/Nov,2017,4,calculator,2,11(e),Solve the equation h^{-1}(x) = 1000.,1,early,calculator | early,functions
0607_w17_qp_43.json,0607,w,Oct/Nov,2017,4,calculator,3,1(d),Find g(h(f(x))) in terms of x.,2,early,calculator | early,functions
0607_w17_qp_43.json,0607,w,Oct/Nov,2017,4,calculator,3,9(a)(iii),Solve f(x) = 1.,1,early,calculator | early,functions
0607_w17_qp_43.json,0607,w,Oct/Nov,2017,4,calculator,3,9(b)(iii),Solve the equation f(x) = g(x),2,early,calculator | early,graphing functions
0607_w18_qp_21.json,0607,w,Oct/Nov,2018,2,non_calculator,1,15,Factorise 4x^2 - 7x - 2,2,early,non_calculator | early,expanding and factorising
0607_w18_qp_42.json,0607,w,Oct/Nov,2018,4,calculator,2,7(b)(ii),"Calculate the time, in seconds, for the train to completely cross the bridge.",2,early,calculator | early,topics in arithmetic
0607_w18_qp_42.json,0607,w,Oct/Nov,2018,4,calculator,2,13(b)(i),"The point Q is such that \(\vec{OQ} = \frac{5}{3}\vec{OP}\). Write \(\vec{BQ}\), in terms of a and/or b, in its simplest form.",2,early,calculator | early,vectors
0607_w18_qp_43.json,0607,w,Oct/Nov,2018,4,calculator,3,2(a),Describe fully the single transformation that maps triangle T onto triangle P.,3,early,calculator | early,transformations
0607_w18_qp_43.json,0607,w,Oct/Nov,2018,4,calculator,3,9(b)(i),"If it rains, Helena never goes for a walk. If it does not rain, Helena always goes for a walk. On any day, the probability that it rains is 1/3. Complete the tree diagram showing the probabilities of the two events.",1,early,calculator | early,probability
0607_w19_qp_41.json,0607,w,Oct/Nov,2019,4,calculator,1,2(a),Increase 4.5 kg by 16%.,2,early,calculator | early,topics in arithmetic
